,Nizamabad,Adilabad,"Kuda, warangal","Mee-Seva, Warangal",Khammam,Karimnagar,forecasts
2016-01-01,62,67,73,76,47,69,
2016-02-01,64,68,72,72,51,59,
2016-03-01,66,71,68,63,54,44,
2016-04-01,68,70,74,73,51,62,
2016-05-01,69,71,76,84,47,52,
2016-06-01,38,40,72,68,47,48,
2016-07-01,57,60,57,63,41,32,
2016-08-01,58,61,44,38,37,36,
2016-09-01,56,58,48,52,39,31,
2016-10-01,64,67,62,61,48,56,
2016-11-01,60,63,56,83,55,69,
2016-12-01,62,65,83,84,60,84,
2017-01-01,61,64,73,76,60,84,
2017-02-01,62,64,70,78,64,75,
2017-03-01,63,68,65,71,54,86,
2017-04-01,67,69,74,72,55,79,
2017-05-01,68,71,71,68,57,82,
2017-06-01,63,66,63,61,42,59,
2017-07-01,57,62,59,48,41,55,
2017-08-01,60,60,56,60,53,55,
2017-09-01,59,61,68,62,50,62,
2017-10-01,61,65,59,62,63,71,
2017-11-01,61,63,65,76,54,91,
2017-12-01,59,64,70,78,60,90,
2018-01-01,61,66,105,105,64,111,
2018-02-01,61,67,94,94,68,87,
2018-03-01,66,70,80,80,71,89,
2018-04-01,70,74,82,82,77,100,
2018-05-01,54,74,83,83,77,100,
2018-06-01,64,69,85,85,83,100,
2018-07-01,59,64,71,71,75,89,
2018-08-01,60,64,76,76,79,91,
2018-09-01,64,62,80,80,84,100,
2018-10-01,48,67,87,87,85,98,
2018-11-01,60,75,95,95,92,106,
2018-12-01,62,81,87,87,88,100,
2019-01-01,64,76,88,91,94,104,
2019-02-01,61,77,90,91,90,102,
2019-03-01,61,79,90,92,91,103,
2019-04-01,62,78,94,89,90,109,
2019-05-01,64,80,92,93,88,103,
2019-06-01,69,77,88,86,81,99,
2019-07-01,72,78,89,87,77,100,
2019-08-01,71,79,82,80,84,99,
2019-09-01,61,73,76,73,78,97,
2019-10-01,69,72,91,85,86,102,
2019-11-01,62,79,88,91,85,105,
2019-12-01,66,73,90,87,84,112,
2020-01-01,64,78,92,89,88,104,
2020-02-01,64,82,88,88,84,102,
2020-03-01,66,71,65,74,83,103,
2020-04-01,38,52,38,41,80,109,
2020-05-01,50,-,41,65,63,103,
2020-06-01,52,74,42,58,48,99,
2020-07-01,63,74,57,67,70,100,
2020-08-01,60,72,67,61,37,99,
2020-09-01,62,72,51,55,52,97,
2020-10-01,62,72,59,61,62,102,
2020-11-01,63,-,85,92,83,105,
2020-12-01,81,-,59,91,95,112,
2021-01-01,69,-,78,81,100,111,
2021-02-01,68,62,85,88,84,114,
2021-03-01,66,73,57,75,68,110,
2021-04-01,69,74,58,71,54,39,
2021-05-01,41,67,43,51,-,72,
2021-06-01,-,-,44,81,88,58,
2021-07-01,54,-,86,57,69,114,
2021-08-01,45,-,40,60,67,70,
2021-09-01,43,-,64,55,85,96,
2021-10-01,59,-,49,64,61,137,
2021-11-01,66,-,58,65,86,114,
2021-12-01,57,-,55,69,78,108,
2022-01-01,56,-,58,73,80,82,
2022-02-01,59,-,64,73,78,90,
2022-03-01,64,56,49,76,77,96,
2022-04-01,58,65,66,60,79,70,
2022-05-01,56,60,54,77,77,76,
2022-06-01,54,58,72,85,81,89,
2022-07-01,46,48,40,47,73,69,
2022-08-01,53,56,43,56,58,55,
2022-09-01,54,56,41,48,42,58,
2022-10-01,63,65,64,64,57,63,
2022-11-01,56,58,49,94,78,101,
2022-12-01,59,62,116,94,115,126,
2023-01-01,,,,,,96.35060085680263,
2023-02-01,,,,,,82.19011939268476,
2023-03-01,,,,,,109.17559707735754,
2023-04-01,,,,,,85.36544244917796,
2023-05-01,,,,,,81.8546918167437,
2023-06-01,,,,,,87.49424679401453,
2023-07-01,,,,,,76.73155659295188,
2023-08-01,,,,,,76.54094670364374,
2023-09-01,,,,,,84.29086555281285,
2023-10-01,,,,,,78.28191667994533,
2023-11-01,,,,,,103.42024905302338,
2023-12-01,,,,,,115.86244140329393,
